"Name","Latitude","Longitude","Elevation","X","Y","Z"
"SASK00CAN","52.1962","253.6016","579.0000","-1106031.8461","-3758370.7368","5016225.7599"
"SAVO00BRA","-11.0608","321.5677","76.7000","4904069.5471","-3891414.0288","-1215602.1219"
"SBOK00ZAF","-28.3307","17.8792","1043.5000","5347100.7926","1724925.3819","-3008819.8587"
"SCH200CAN","54.8321","293.1674","498.6000","1448526.3720","-3384984.8789","5190646.4382"
"SCIP00USA","32.9144","241.5121","453.3000","-2556410.4161","-4710685.6797","3445998.8191"
"SCOR00GRL","70.4853","338.0497","128.9000","1982057.0354","-798805.1184","5989345.4991"
"SCRZ00BOL","-16.2032","296.8403","442.5000","2766099.9325","-5466382.0702","-1768336.4628"
"SCTB00ATA","-76.1510","166.7580","-18.4000","-1490811.3660","350819.7885","-6170770.2071"
"SCUB00CUB","20.0121","284.2377","21.4000","1474534.5083","-5811224.5741","2168950.9735"
"SEJN00KOR","36.5222","127.3032","181.6000","-3109994.8047","4081979.5882","3774918.4182"
"SEUS00BES","17.4953","297.0174","-5.8000","2764148.2025","-5420878.5122","1905184.6648"
"SEY200SYC","-3.3264","55.4794","539.2000","3608458.5082","5246306.5474","-367608.0757"
"SEYG00SYC","-3.3213","55.5306","-37.2000","3603782.1935","5249547.2409","-367046.3328"
"SFDM00USA","34.4598","241.2455","291.9000","-2532562.3801","-4615392.0094","3588619.2979"
"SFER00ESP","36.4643","353.7944","84.6000","5105453.7615","-555138.1659","3769753.1264"
"SGOC00LKA","6.8921","79.8742","-78.1000","1113294.5938","6233719.3728","760287.0853"
"SGPO00USA","36.6042","262.5152","290.6000","-667772.3339","-5082630.6534","3782225.7972"
"SHAO00CHN","31.0996","121.2004","22.5000","-2831724.0186","4675650.2542","3275357.8766"
"SHE200CAN","46.2207","295.4480","-14.9000","1899513.0357","-3991731.1592","4582253.9413"
"SHLG00IND","25.6739","91.9133","1007.6000","-192046.3081","5748873.9934","2746558.2283"
"SIN100SGP","1.3430","103.6794","92.9000","-1507951.7410","6195525.6005","148484.8941"
"SMST00JPN","33.5779","135.9369","98.0000","-3822315.0749","3699304.8238","3507533.3277"
"SNI100USA","33.2479","240.4756","240.1000","-2631249.9290","-4646108.1676","3476983.0597"
"SOD300FIN","67.4208","26.3893","301.3000","2200048.5979","1091600.4900","5866595.2962"
"SOFI00BGR","42.5561","23.3947","1120.0000","4318629.5555","1868365.6055","4291319.0634"
"SOLO00SLB","-8.5651","159.9544","123.2000","-5925366.6547","2162003.7430","-943624.8217"
"SPK100USA","34.0593","241.3538","440.5000","-2535820.9020","-4642120.8325","3551905.1979"
"SPT000SWE","57.7149","12.8913","220.3000","3328873.5259","761883.8890","5368850.1214"
"SPTU00BRA","-20.0709","309.5076","509.2000","3812732.5759","-4623958.2830","-2175072.6241"
"SSIA00SLV","13.6973","270.8838","664.8000","95601.0961","-6197183.1244","1500462.6445"
"STFU00USA","37.4269","237.8267","20.8000","-2700394.3795","-4292592.1043","3855126.0670"
"STHL00GBR","-14.0575","354.3327","453.7000","6158109.5793","-611115.2833","-1539152.7932"
"STJ300CAN","47.5954","307.3217","154.9000","2612526.2737","-3426738.5233","4686662.3377"
"STJO00CAN","47.5953","307.3222","153.2000","2612569.1665","-3426725.8701","4686647.7368"
"STK200JPN","43.5286","141.8448","119.0000","-3642094.5144","2861436.7728","4370270.6706"
"STPM00SPM","46.7778","303.8317","0.9000","2436207.2981","-3634804.2356","4624885.8280"
"STR100AUS","-34.6845","149.0101","800.3000","-4500977.1759","2703384.9202","-3609146.1702"
"STR200AUS","-34.6838","149.0102","802.9000","-4501017.0251","2703396.9771","-3609087.9152"
"SULP00UKR","49.8356","24.0145","371.0000","3765082.5751","1677464.6135","4851018.8088"
"SUTH00ZAF","-31.6198","20.8105","1800.2000","5081647.1643","1931399.5689","-3324620.0059"
"SUTM00ZAF","-31.6186","20.8109","1798.0000","5081698.5659","1931464.2185","-3324504.5828"
"SUWN00KOR","37.2755","127.0542","84.4000","-3061984.2470","4055395.5170","3841770.4796"
"SVTL00RUS","60.5329","29.7809","77.2000","2730123.6578","1562345.7161","5529923.6126"
"SYDN00AUS","-32.2191","151.1504","86.0000","-4730802.9390","2606117.7845","-3381015.1406"
"SYOG00ATA","-68.9931","39.5838","50.5000","1767309.9012","1461201.8255","-5931696.0737"
"TABL00USA","34.3819","242.3217","2228.4000","-2447710.1794","-4666498.6548","3581505.9123"
"TANA00ETH","11.5691","37.3291","1851.4000","4969330.4808","3789606.9957","1270745.5776"
"TASH00UZB","41.3281","69.2956","440.1000","1695831.1672","4486834.3424","4189855.9310"
"TCMS00TWN","24.7980","120.9874","77.7000","-2982747.0268","4966600.5463","2658779.0122"
"TDOU00ZAF","-22.9201","30.3840","630.6000","5070315.8128","2972833.6606","-2468574.5001"
"TEHN00IRN","35.6973","51.3341","1195.0000","3239904.6179","4048995.7710","3700977.8045"
"TEJA00CHL","-38.1946","286.7471","43.6000","1446247.5136","-4806224.0422","-3922439.1767"
"THTG00PYF","-16.4229","210.3936","97.1000","-5278546.7926","-3096106.9839","-1791670.7704"
"THTI00PYF","-16.4229","210.3936","98.9000","-5278546.8186","-3096106.9991","-1791670.7793"
"THU200GRL","76.5371","291.1749","36.7000","538089.7961","-1389079.7150","6180944.9307"
"TID100AUS","-34.6008","148.9800","665.7000","-4504078.3636","2708463.6067","-3601508.8191"
"TIDB00AUS","-34.6008","148.9800","665.8000","-4504078.3648","2708463.6074","-3601508.8201"
"TIT200DEU","51.0352","6.4316","156.5000","3993692.2379","450193.6510","4936011.7342"
"TIXI00RUS","71.6345","128.8664","47.4000","-1264864.0403","1569444.6380","6030959.4859"
